x, fx
0,	0
0.024,	0
0.048,	0
0.072,	-1.59803e-37
0.096,	1.41394e-36
0.12,	-2.64826e-37
0.144,	-4.51869e-36
0.168,	4.06882e-36
0.192,	8.43733e-36
0.216,	-1.53417e-35
0.24,	-8.29235e-36
0.264,	3.80591e-35
0.288,	-7.70152e-36
0.312,	-7.10464e-35
0.336,	5.96632e-35
0.36,	9.8503e-35
0.384,	-1.71773e-34
0.408,	-7.73043e-35
0.432,	3.56418e-34
0.456,	-7.27101e-35
0.48,	-5.81707e-34
0.504,	4.61771e-34
0.528,	7.24041e-34
0.552,	-1.18552e-33
0.576,	-5.2365e-34
0.6,	2.22119e-33
0.624,	-4.12097e-34
0.648,	-3.26128e-33
0.672,	2.48104e-33
0.696,	3.53296e-33
0.72,	-5.74008e-33
0.744,	-1.7486e-33
0.768,	9.28098e-33
0.792,	-3.5294e-33
0.816,	-1.04139e-32
0.84,	1.26897e-32
0.864,	4.06625e-33
0.888,	-2.25921e-32
0.912,	1.66513e-32
0.936,	2.26364e-32
0.96,	-5.70425e-32
0.984,	9.92999e-33
1.008,	1.12246e-31
1.032,	-1.13015e-31
1.056,	-1.51055e-31
1.08,	3.35678e-31
1.104,	9.11565e-32
1.128,	-7.18048e-31
1.152,	2.30849e-31
1.176,	1.24244e-30
1.2,	-1.08236e-30
1.224,	-1.74194e-30
1.248,	2.82363e-30
1.272,	1.75892e-30
1.296,	-5.81508e-30
1.32,	-3.66455e-31
1.344,	1.01732e-29
1.368,	-3.98986e-30
1.392,	-1.52908e-29
1.416,	1.3493e-29
1.44,	1.90511e-29
1.464,	-3.05398e-29
1.488,	-1.67452e-29
1.512,	5.64887e-29
1.536,	-1.03209e-31
1.56,	-8.89667e-29
1.584,	4.44087e-29
1.608,	1.17e-28
1.632,	-1.32417e-28
1.656,	-1.13277e-28
1.68,	2.78492e-28
1.704,	2.3306e-29
1.728,	-4.81965e-28
1.752,	2.47509e-28
1.776,	7.0032e-28
1.8,	-8.45242e-28
1.824,	-8.00928e-28
1.848,	1.96887e-27
1.872,	4.81958e-28
1.896,	-3.84533e-27
1.92,	8.46653e-28
1.944,	6.64947e-27
1.968,	-4.22682e-27
1.992,	-1.03217e-26
2.016,	1.13521e-26
2.04,	1.42115e-26
2.064,	-2.47666e-26
2.088,	-1.64422e-26
2.112,	4.79709e-26
2.136,	1.28557e-26
2.16,	-8.52414e-26
2.184,	4.64372e-27
2.208,	1.408e-25
2.232,	-5.0551e-26
2.256,	-2.16685e-25
2.28,	1.49229e-25
2.304,	3.08207e-25
2.328,	-3.39501e-25
2.352,	-3.95168e-25
2.376,	6.80267e-25
2.4,	4.25867e-25
2.424,	-1.25655e-24
2.448,	-2.89247e-25
2.472,	2.18451e-24
2.496,	-2.32067e-25
2.52,	-3.61215e-24
2.544,	1.5388e-24
2.568,	5.70969e-24
2.592,	-4.33856e-24
2.616,	-8.63817e-24
2.64,	9.84013e-24
2.664,	1.24759e-23
2.688,	-2.00537e-23
2.712,	-1.70669e-23
2.736,	3.8248e-23
2.76,	2.17268e-23
2.784,	-6.96374e-23
2.808,	-2.46942e-23
2.832,	1.22407e-22
2.856,	2.21268e-23
2.88,	-2.09238e-22
2.904,	-6.29121e-24
2.928,	3.49591e-22
2.952,	-3.76672e-23
2.976,	-5.73192e-22
3,	1.37432e-22
3.024,	9.25498e-22
3.048,	-3.43471e-22
3.072,	-1.4766e-21
3.096,	7.46153e-22
3.12,	2.33627e-21
3.144,	-1.5046e-21
3.168,	-3.68022e-21
3.192,	2.8943e-21
3.216,	5.79664e-21
3.24,	-5.3836e-21
3.264,	-9.16918e-21
3.288,	9.75334e-21
3.312,	1.46238e-20
3.336,	-1.72785e-20
3.36,	-2.35852e-20
3.384,	2.99965e-20
3.408,	3.85164e-20
3.432,	-5.10931e-20
3.456,	-6.36618e-20
3.48,	8.54483e-20
3.504,	1.06288e-19
3.528,	-1.40395e-19
3.552,	-1.78752e-19
3.576,	2.2676e-19
3.6,	3.01966e-19
3.624,	-3.60254e-19
3.648,	-5.11287e-19
3.672,	5.63145e-19
3.696,	8.66649e-19
3.72,	-8.65766e-19
3.744,	-1.47009e-18
3.768,	1.30621e-18
3.792,	2.49588e-18
3.816,	-1.92385e-18
3.84,	-4.24087e-18
3.864,	2.73675e-18
3.888,	7.20517e-18
3.912,	-3.68266e-18
3.936,	-1.22133e-17
3.96,	4.48646e-18
3.984,	2.05801e-17
4.008,	-4.39145e-18
4.032,	-3.43077e-17
4.056,	1.65741e-18
4.08,	5.62611e-17
4.104,	7.3144e-18
4.128,	-9.01937e-17
4.152,	-2.9418e-17
4.176,	1.40362e-16
4.2,	7.70773e-17
4.224,	-2.10226e-16
4.248,	-1.71535e-16
4.272,	2.99308e-16
4.296,	3.4735e-16
4.32,	-3.965e-16
4.344,	-6.57801e-16
4.368,	4.66952e-16
4.392,	1.17948e-15
4.416,	-4.28022e-16
4.44,	-2.01116e-15
4.464,	1.08633e-16
4.488,	3.25535e-15
4.512,	8.12454e-16
4.536,	-4.96072e-15
4.56,	-2.8861e-15
4.584,	6.98902e-15
4.608,	6.96607e-15
4.632,	-8.75815e-15
4.656,	-1.42113e-14
4.68,	8.81326e-15
4.704,	2.58854e-14
4.728,	-4.21242e-15
4.752,	-4.27283e-14
4.776,	-1.01834e-14
4.8,	6.35706e-14
4.824,	4.22019e-14
4.848,	-8.27901e-14
4.872,	-1.01894e-13
4.896,	8.63116e-14
4.92,	1.98677e-13
4.944,	-4.6416e-14
4.968,	-3.33736e-13
4.992,	-8.28094e-14
5.016,	4.84676e-13
5.04,	3.64334e-13
5.064,	-5.80363e-13
5.088,	-8.61316e-13
5.112,	4.68912e-13
5.136,	1.58921e-12
5.16,	1.05975e-13
5.184,	-2.42114e-12
5.208,	-1.48406e-12
5.232,	2.9444e-12
5.256,	3.96072e-12
5.28,	-2.30714e-12
5.304,	-7.47445e-12
5.328,	-8.26052e-13
5.352,	1.1061e-11
5.376,	7.97531e-12
5.4,	-1.21571e-11
5.424,	-1.9865e-11
5.448,	6.14295e-12
5.472,	3.44718e-11
5.496,	1.2997e-11
5.52,	-4.42812e-11
5.544,	-4.95284e-11
5.568,	3.41346e-11
5.592,	9.91254e-11
5.616,	1.70065e-11
5.64,	-1.38999e-10
5.664,	-1.25334e-10
5.688,	1.2031e-10
5.712,	2.78487e-10
5.736,	2.48561e-11
5.76,	-4.02584e-10
5.784,	-3.44607e-10
5.808,	3.41206e-10
5.832,	7.8594e-10
5.856,	1.08865e-10
5.88,	-1.09339e-09
5.904,	-1.05022e-09
5.928,	7.75394e-10
5.952,	2.21492e-09
5.976,	7.04644e-10
6,	-2.70266e-09
6.024,	-3.37558e-09
6.048,	1.07663e-09
6.072,	5.95717e-09
6.096,	3.71431e-09
6.12,	-5.4621e-09
6.144,	-1.04642e-08
6.168,	-1.5972e-09
6.192,	1.39096e-08
6.216,	1.54623e-08
6.24,	-5.65637e-09
6.264,	-2.80898e-08
6.288,	-1.91127e-08
6.312,	2.21431e-08
6.336,	4.98885e-08
6.36,	1.80522e-08
6.384,	-5.40018e-08
6.408,	-8.16981e-08
6.432,	-6.90323e-09
6.456,	1.10599e-07
6.48,	1.27407e-07
6.504,	-2.21702e-08
6.528,	-2.06761e-07
6.552,	-1.94895e-07
6.576,	7.94637e-08
6.6,	3.66727e-07
6.624,	3.01638e-07
6.648,	-1.75945e-07
6.672,	-6.30344e-07
6.696,	-4.86402e-07
6.72,	3.15959e-07
6.744,	1.06058e-06
6.768,	8.31611e-07
6.792,	-4.7577e-07
6.816,	-1.74636e-06
6.84,	-1.50122e-06
6.864,	5.50312e-07
6.888,	2.78038e-06
6.912,	2.79052e-06
6.936,	-2.4034e-07
6.96,	-4.16062e-06
6.984,	-5.14948e-06
7.008,	-1.14227e-06
7.032,	5.51396e-06
7.056,	9.04637e-06
7.08,	4.89523e-06
7.104,	-5.51295e-06
7.128,	-1.43547e-05
7.152,	-1.28419e-05
7.176,	1.0263e-06
